Unnamed: 0,_time,etat_failed
318,2022-11-05 00:00:00+00:00,29
319,2022-11-06 00:00:00+00:00,33
320,2022-11-07 00:00:00+00:00,30
321,2022-11-08 00:00:00+00:00,47
322,2022-11-09 00:00:00+00:00,41
323,2022-11-10 00:00:00+00:00,55
324,2022-11-11 00:00:00+00:00,30
325,2022-11-12 00:00:00+00:00,33
326,2022-11-13 00:00:00+00:00,35
327,2022-11-14 00:00:00+00:00,32
328,2022-11-15 00:00:00+00:00,45
329,2022-11-16 00:00:00+00:00,51
330,2022-11-17 00:00:00+00:00,38
331,2022-11-18 00:00:00+00:00,34
332,2022-11-19 00:00:00+00:00,33
333,2022-11-20 00:00:00+00:00,31
334,2022-11-21 00:00:00+00:00,62
335,2022-11-22 00:00:00+00:00,44
336,2022-11-23 00:00:00+00:00,36
337,2022-11-24 00:00:00+00:00,36
338,2022-11-25 00:00:00+00:00,726
339,2022-11-26 00:00:00+00:00,41
340,2022-11-27 00:00:00+00:00,30
341,2022-11-28 00:00:00+00:00,39
342,2022-11-29 00:00:00+00:00,40
343,2022-11-30 00:00:00+00:00,34
344,2022-12-01 00:00:00+00:00,62
345,2022-12-02 00:00:00+00:00,46
346,2022-12-03 00:00:00+00:00,36
347,2022-12-04 00:00:00+00:00,39
348,2022-12-05 00:00:00+00:00,42
349,2022-12-06 00:00:00+00:00,54
350,2022-12-07 00:00:00+00:00,40
351,2022-12-08 00:00:00+00:00,36
352,2022-12-09 00:00:00+00:00,26
353,2022-12-10 00:00:00+00:00,28
354,2022-12-11 00:00:00+00:00,27
355,2022-12-12 00:00:00+00:00,33
356,2022-12-13 00:00:00+00:00,34
357,2022-12-14 00:00:00+00:00,48
358,2022-12-15 00:00:00+00:00,287
359,2022-12-16 00:00:00+00:00,48
360,2022-12-17 00:00:00+00:00,40
361,2022-12-18 00:00:00+00:00,46
362,2022-12-19 00:00:00+00:00,45
363,2022-12-20 00:00:00+00:00,47
364,2022-12-21 00:00:00+00:00,36
365,2022-12-22 00:00:00+00:00,49
366,2022-12-23 00:00:00+00:00,28
367,2022-12-24 00:00:00+00:00,28
368,2022-12-25 00:00:00+00:00,35
369,2022-12-26 00:00:00+00:00,43
370,2022-12-27 00:00:00+00:00,34
371,2022-12-28 00:00:00+00:00,46
372,2022-12-29 00:00:00+00:00,41
373,2022-12-30 00:00:00+00:00,29
374,2022-12-31 00:00:00+00:00,27
375,2023-01-01 00:00:00+00:00,50
376,2023-01-02 00:00:00+00:00,38
377,2023-01-03 00:00:00+00:00,39
378,2023-01-04 00:00:00+00:00,44
379,2023-01-05 00:00:00+00:00,105
380,2023-01-06 00:00:00+00:00,132
381,2023-01-07 00:00:00+00:00,35
382,2023-01-08 00:00:00+00:00,34
383,2023-01-09 00:00:00+00:00,35
384,2023-01-10 00:00:00+00:00,29
385,2023-01-11 00:00:00+00:00,32
386,2023-01-12 00:00:00+00:00,49
387,2023-01-13 00:00:00+00:00,32
388,2023-01-14 00:00:00+00:00,28
389,2023-01-15 00:00:00+00:00,31
390,2023-01-16 00:00:00+00:00,38
391,2023-01-17 00:00:00+00:00,60
392,2023-01-18 00:00:00+00:00,35
393,2023-01-19 00:00:00+00:00,40
394,2023-01-20 00:00:00+00:00,37
395,2023-01-21 00:00:00+00:00,23
396,2023-01-22 00:00:00+00:00,30
